issue,url_or_scope,severity,verified_live,change_made,validation_result,remaining_caveat
"Redirecting URLs in sitemap (4)","/conditions/aging-management, /conditions/ankle-arthroscopy, /conditions/ankle-replacement, /conditions/degenerative-disc-disease-surgery",high,YES,"Excluded at the sitemap layer via lib/sitemap-exclusions.ts applied in addEntry. Condition data rows retained because lib/metadata-seo.ts and the foot-pain client still resolve against those slugs.","Sitemap 333 -> 329 URLs; all four absent; their four /treatments/ targets still listed; audit script passes","Fix is an explicit list; scripts/audit-sitemap-vs-redirects.mjs is the drift gate"
"Multiple H1s per page","10 layouts injecting sr-only h1+h2; ConditionCheckSection using h1 for option/checkbox labels",high,YES,"Removed hidden heading pairs from 10 layouts; converted 3 ConditionCheckSection h1 to span","condition-check 9->1; free-mri-review 3->1; find-a-doctor 3->1; candidacy-check 3->1; patient-forms/insurance-policy/privacy-policy/second-opinion 2->1","/find-care/book-an-appointment measured 2 on a memory-starved dev server; source has exactly 1 h1 — needs production confirmation"
"Fabricated aggregateRating","/, /find-care/book-an-appointment, /treatments/orthopedic-injections",high,YES,"Removed all three (5.0/200, 4.8/1247, 5.0/54)","Rendered South Miami page: 2 aggregateRating occurrences remain and both are the real per-location GBP rating","Per-location ratings retained deliberately; they reconcile with clinicsForMap.generated.ts"
"Fabricated Review entities","/treatments/orthopedic-injections",high,YES,"Removed 3 invented named patient testimonials asserting clinical outcomes","Removed from JSON-LD; page still builds","-"
"Global openingHours applied to all 23 clinics","every /locations/* page and injury clinic ItemList",high,YES,"Removed openingHours and openingHoursSpecification from location JSON-LD and from lib/injuryPageSchema.ts","Rendered South Miami page: 0 occurrences of openingHours","Visible '8AM-8PM, 7 days a week' copy still present in 17 FAQ answers and 6 UI components — left pending clinic verification"
"Identical hasOfferCatalog on every location","every /locations/* page",medium,YES,"Removed from lib/generateLocationSchema.ts","Rendered South Miami page: 0 occurrences of hasOfferCatalog","'Band-Aid Back Surgery' still appears in visible location copy and keywords (3x on South Miami) — flagged for content pass"
"Entity/URL mismatch (Miami Beach vs South Miami)","/locations/florida/miami-beach-orthopedics",high,YES,"Renamed canonical to south-miami-orthopedics; 301 added for both the flat legacy slug and the state-first old URL; metaTitle/description/copy corrected; all slug-derived URL references updated","Built page: correct title and self-canonical, 1 H1, 0 occurrences of 'Miami Beach', all 7 JSON-LD blocks parse; sitemap lists south-miami and not miami-beach","Ads PMax asset group still points at the old URL (301s) — repoint action in ads_destination_handoff.csv"
"Non-E.164 tel: link","/locations/[state] and /locations/[state]/[location]",medium,YES,"Added href to STATE_PHONE_NUMBERS and MAIN_PHONE_HREF; used for hero phone CTA; completed both incomplete statePhone fallbacks","PBG page: 7 FL tel links, all tel:+15612239959","Three tel:5612239959 links remain in app/treatments/orthopedic-injections/page.tsx"
"No Free Second Opinion on location pages","all 23 /locations/* pages",high,YES,"Added server-rendered components/SecondOpinionCallout.tsx in the decision path","PBG page renders the offer, the 24-hour scope, and a link to /find-care/second-opinion","-"
"Placeholder telephone +1234567890 and url example.com","app/injuries/car-accident/CarAccidentClient.tsx ~1465",low,NO,"None yet — the block is commented out and not emitted in live JSON-LD","Confirmed not present in rendered output","Misleading dead code; scheduled for the dead-code pass"
"Hardcoded '5 stars (327+)'","4 injury landing pages",medium,YES,"Replaced with generated constants derived from GBP data (530 reviews / 23 locations, 4.98 weighted avg)","npm run check:clinics-map validates both generated files","-"
"No build-time guard on location facts","components/data/clinics.tsx",medium,n/a,"Added scripts/validate-location-data.mjs to prebuild","23 clinics pass, 4 warnings (PA->FL phone, intentional); 10-probe self-test passes","-"
"Orphan pages (16 reported)",sitewide,medium,NOT VERIFIED,"Not worked this session","-","Requires a crawl; not attempted"
"Links to redirects (95 reported)",sitewide,medium,PARTIALLY,"Not systematically worked. Verified /conditions hub does not link to the 4 redirecting condition URLs.","-","Requires a full internal-link crawl"
"Duplicate MedicalOrganization on location pages","/locations/*",medium,YES,"Not fixed this session","Observed 2 MedicalOrganization JSON-LD blocks on the South Miami page (7 blocks total, all valid JSON)","Entity consolidation belongs to the schema rebuild"
"Titles/descriptions over length (198/105 reported)",sitewide,low,NOT VERIFIED,"Not worked; only the renamed South Miami title was rewritten (54 chars)","-","Length alone is not a ranking penalty; deferred deliberately"
