locationSlug,name,region,address_in_repo,gbp_address_verified,lat,lng,gbp_lat,gbp_lng,delta_metres,cid,placeId,gbp_verified_2026_08_29,canonical_route,note
hollywood-orthopedics,"Mountain Spine & Orthopedics Hollywood, FL","Hollywood, FL","3500 Tyler St, Hollywood, FL 33021","3500 Tyler St, Hollywood, FL 33021",26.0113548,-80.1789073,26.0113548,-80.1789073,0,13658533427783630986,ChIJB4w5HZ6r2YgRioDXW8nbjL0,yes,/locations/florida/hollywood-orthopedics,Exact match to GBP
palm-springs-orthopedics,Mountain Spine & Orthopedics Altamonte Springs - Casselberry,"Altamonte Springs - Casselberry, FL","652 Palm Springs Dr, Altamonte Springs, FL 32701",,28.6742451,-81.374189,,,,,,no,/locations/florida/palm-springs-orthopedics,No GBP cid in dataset - address and coordinates UNVERIFIED
orlando-orthopedics,Mountain Spine & Orthopedics Orlando,"Orlando, FL","6150 Metrowest Blvd STE 102, Orlando, FL 32835","6150 Metrowest Blvd Ste 102, Orlando, FL 32835",28.5136111,-81.466257,28.5136111,-81.466257,0,10592483445661608044,ChIJvwlQvKN554gRbKjdi5IPAJM,yes,/locations/florida/orlando-orthopedics,Exact match to GBP
fort-pierce-orthopedics,Mountain Spine & Orthopedics Fort Pierce,"Fort Pierce, FL","2215 Nebraska Ave Suite 1C, Fort Pierce, FL 34950","2215 Nebraska Ave Ste 1C, Fort Pierce, FL 34950",27.4316576,-80.3483451,27.4316576,-80.3483451,0,9772625750569427516,ChIJt0ir7Mzx3ogRPKKGsVdXn4c,yes,/locations/florida/fort-pierce-orthopedics,Exact match to GBP
palm-beach-gardens-orthopedics,Mountain Spine & Orthopedics Palm Beach Gardens,"Palm Beach Gardens, FL","3355 Burns Rd STE 304, Palm Beach Gardens, FL 33410","3355 Burns Rd #304, Palm Beach Gardens, FL 33410",26.8308619,-80.0874845,26.8308619,-80.0874845,0,9551232848950997571,ChIJSdUTGDAr34gRQzLE6KvLjIQ,yes,/locations/florida/palm-beach-gardens-orthopedics,Exact match to GBP
south-miami-orthopedics,Mountain Spine & Orthopedics South Miami,"South Miami, FL","7000 SW 62nd Ave, Suite 330, Miami, FL 33143","7000 SW 62nd Ave Ste 330, Miami, FL 33143",25.7053911,-80.2936699,25.7053911,-80.2936699,0,5072257544612706635,ChIJ_f2WGiPH2YgRS3nv41xHZEY,yes,/locations/florida/south-miami-orthopedics,"Coordinates corrected 2026-08-29: were 1291m from the GBP location. GBP confirms city is ""Miami"", not ""South Miami"" - repo address was already correct."
boca-raton-orthopedics,Mountain Spine & Orthopedics Boca Raton,"Boca Raton, FL","1905 Clint Moore Rd #300, Boca Raton, FL 33496","1905 Clint Moore Rd #300, Boca Raton, FL 33496",26.408839,-80.125999,26.408839,-80.125999,0,15451539311650672620,ChIJs170rR8f2YgR7A_sXyPlbtY,yes,/locations/florida/boca-raton-orthopedics,Exact match to GBP
altamonte-springs-orthopedics,Mountain Spine & Orthopedics Altamonte Springs,"Central Pkwy Altamonte Springs, FL","499 E Central Pkwy, Suite 130, Altamonte Springs, FL 32701","499 E Central Pkwy Ste 130, Altamonte Springs, FL 32701",28.6701508,-81.3745803,28.6701508,-81.3745803,0,8020463626324954519,ChIJUbdY9Fxx54gRl00KhSxpTm8,yes,/locations/florida/altamonte-springs-orthopedics,Exact match to GBP
davenport-orthopedics,Mountain Spine & Orthopedics Davenport,"Davenport, FL","2400 North Blvd W Suite C, Davenport, FL 33837",,28.1657874,-81.6388572,,,,,,no,/locations/florida/davenport-orthopedics,No GBP cid in dataset - address and coordinates UNVERIFIED
jacksonville-orthopedics,"Mountain Spine & Orthopedics Jacksonville, FL","Jacksonville, FL","1205 Monument Rd, Suite 202, Jacksonville, FL 32225","1205 Monument Rd Ste 202, Jacksonville, FL 32225",30.3418103,-81.5382893,30.3417741,-81.5382807,4,8805803724154439435,ChIJbexYmoC15YgRC4cJ_NR_NHo,yes,/locations/florida/jacksonville-orthopedics,"Within 4m of GBP - geocoding jitter, no action"
