claim,url_or_source,evidence,reviewer,status,action_taken
"aggregateRating 5.0 / 200 reviews","app/page.tsx (Organization JSON-LD)","No first-party source. GBP-derived dataset totals 530 reviews across 23 locations; 200 reconciles with nothing.",unassigned,remove,"REMOVED 2026-08-29 (commit d61157f)"
"aggregateRating 4.8 / 1247 reviews","app/find-care/book-an-appointment/page.tsx (MedicalOrganization JSON-LD)","No first-party source. Largest unverified rating on the site; 1247 exceeds total real reviews (530) by 2.4x.",unassigned,remove,"REMOVED 2026-08-29 (commit d61157f)"
"aggregateRating 5.0 / 54 reviews","app/treatments/orthopedic-injections/layout.tsx","No first-party source; does not reconcile with GBP data.",unassigned,remove,"REMOVED 2026-08-29 (commit d61157f)"
"Patient review: David S. - 'back to my normal routine within a week' after one epidural steroid injection","app/treatments/orthopedic-injections/layout.tsx Review entity","Named individual asserting a specific clinical outcome and recovery timeline. No consent, source, or verification. Self-serving review markup pointing at the Organization.",unassigned,remove,"REMOVED 2026-08-29 (commit d61157f)"
"Patient review: Christina J. - cortisone shot 'worked better than anything I had tried'","app/treatments/orthopedic-injections/layout.tsx Review entity","Same as above; comparative efficacy claim.",unassigned,remove,"REMOVED 2026-08-29 (commit d61157f)"
"Patient review: Dean W. - facet injection 'relieved my neck pain faster than I expected'","app/treatments/orthopedic-injections/layout.tsx Review entity","Same as above; speed-of-relief claim.",unassigned,remove,"REMOVED 2026-08-29 (commit d61157f)"
"openingHours Mo-Su 08:00-20:00 for every clinic","lib/generateLocationSchema.ts via LOCATION_OPENING_HOURS","A single global constant applied to all 23 clinics regardless of actual hours. Wrong hours in structured data can send a patient to a closed clinic.",unassigned,remove,"REMOVED from JSON-LD 2026-08-29 (commit d61157f)"
"openingHours Mo-Su 08:00-20:00 in injury clinic ItemList","lib/injuryPageSchema.ts","Same global assumption applied to every injury-page clinic listing.",unassigned,remove,"REMOVED 2026-08-29 (commit d61157f)"
"hasOfferCatalog: identical 11 procedures at every location","lib/generateLocationSchema.ts","Asserted that all 23 clinics offer the same 11 procedures, including surgical procedures at office locations, without per-site verification.",unassigned,remove,"REMOVED 2026-08-29 (commit d61157f)"
"'Band-Aid Back Surgery' as a schema.org MedicalProcedure","lib/generateLocationSchema.ts hasOfferCatalog","Marketing term, not a recognised medical procedure.",unassigned,remove,"REMOVED 2026-08-29 (commit d61157f)"
"Displayed '5 stars (327+)' on four injury landing pages","app/injuries/{work-injury,personal-injury,slip-and-fall,car-accident}/*Client.tsx","327 reconciles with no source. Real GBP total is 530 across 23 locations at a 4.98 weighted average.",unassigned,verified-after-correction,"REPLACED 2026-08-29 with generated constants (TOTAL_REVIEW_COUNT=530, AVERAGE_RATING=5) derived from GBP data and enforced by npm run check:clinics-map"
"'8AM-8PM, 7 days a week' in 17 location FAQ answers","components/data/clinics.tsx faqs","Same global hours assumption, in patient-facing copy. Cannot be verified from the repository.",BILAL / clinic,waiting,"LEFT IN PLACE - needs per-clinic hours before change; blanking hours sitewide would degrade the page"
"LOCATION_HOURS_DISPLAY '8AM-8PM, 7 days/week'","lib/locationConstants.ts used by 6 UI components","Same as above.",BILAL / clinic,waiting,"LEFT IN PLACE pending verification"
"'Available 7 days a week, 8AM - 8PM'","components/PhoneCTA.tsx","Hardcoded phone-availability claim.",BILAL / clinic,waiting,"LEFT IN PLACE pending verification"
"'same-day appointments' at every location","components/data/clinics.tsx (location copy and FAQs, most locations)","Asserted per location without confirmation that each site offers same-day scheduling.",BILAL / clinic,waiting,"LEFT IN PLACE pending verification"
"Per-location aggregateRating (e.g. Hollywood 5.0 / 28)","lib/generateLocationSchema.ts from clinics.tsx rating/reviewCount","Reconciles with components/data/clinicsForMap.generated.ts, which is GBP-sourced.",unassigned,verified,"RETAINED"
"Per-location review bodies with named authors (e.g. 'Jennifer T.', 'Dr. Robert Chen')","components/data/clinics.tsx reviews[]","Authors are named individuals, not generic placeholders, but provenance is not evidenced in the repo. 'Dr. Robert Chen' as a patient-review author is atypical.",BILAL / clinic,waiting,"LEFT IN PLACE - needs GBP export to confirm these are real reviews"
"hasCredential: ABOS and ABNS board certification at Organization level","app/treatments/orthopedic-injections/layout.tsx","Plausible for the practice's surgeons but asserted on the Organization rather than a named Physician.",BILAL / clinic,needs-qualification,"LEFT IN PLACE - flagged"
"'orthopedic laser spine surgery' in location copy and keywords","components/data/clinics.tsx (Hollywood and others)","High-risk marketing term in a YMYL context; not an established procedure name.",BILAL / clinic,needs-qualification,"LEFT IN PLACE - flagged for Wave 3 content pass"
"'faster recovery' / 'fastest possible recovery'","components/data/clinics.tsx (multiple locations)","Unqualified outcome claim.",BILAL / clinic,needs-qualification,"LEFT IN PLACE - flagged for Wave 3 content pass"
"Free Second Opinion, board-certified, within 24 hours, 100% free","app/find-care/second-opinion/page.tsx","Confirmed practice-wide per brief; treated as verified.",BILAL,verified,"RETAINED"
"Placeholder telephone +1234567890 and url https://example.com/car-accident","app/injuries/car-accident/CarAccidentClient.tsx ~line 1465","Inside a commented-out JSX block, so NOT emitted in live JSON-LD. Misleading dead code.",unassigned,remove,"PENDING - scheduled for Wave 3 dead-code removal"
